retrived_at,province_id,city,state,country,pollution_aqi,polution_main,weather_tp,weather_pr,weather_hu,weather_ws,weather_wd
5/1/2023 10:19:03,TH-20,Na Kluea,Chon Buri,Thailand,85,p2,31,1010,62,0.33,37
5/1/2023 10:19:34,TH-21,Ban Khai,Rayong,Thailand,89,p2,32,1011,73,1.82,125
5/1/2023 10:20:05,TH-50,Chiang Mai,Chiang Mai,Thailand,88,p2,31,988,53,2.57,220
5/1/2023 10:20:36,TH-52,Hang Chat,Lampang,Thailand,107,p2,32,1012,36,1.28,157
5/1/2023 11:15:28,TH-10,Phra Nakhon,Bangkok,Thailand,78,p2,35,1009,46,2.06,111
5/1/2023 11:15:59,TH-11,Bang Phli,Samut Prakan,Thailand,78,p2,33,1010,58,2.06,0
5/1/2023 11:16:30,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,88,p2,34,1011,55,1.54,0
5/1/2023 11:17:01,TH-13,Khlong Luang,Pathum Thani,Thailand,65,p2,34,1010,73,1.54,0
5/1/2023 11:17:32,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,88,p2,33,1010,49,2.52,125
5/1/2023 11:18:03,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,97,p2,33,1010,45,1.76,120
5/1/2023 11:18:34,TH-16,Ban Mi,Lop Buri,Thailand,76,p2,35,1010,42,1.46,141
5/1/2023 11:19:06,TH-20,Na Kluea,Chon Buri,Thailand,78,p2,31,1010,61,0.56,285
5/1/2023 11:19:37,TH-21,Ban Khai,Rayong,Thailand,85,p2,33,1010,66,2.32,138
5/1/2023 11:20:08,TH-50,Chiang Mai,Chiang Mai,Thailand,78,p2,31,985,46,2.57,220
5/1/2023 11:20:40,TH-52,Hang Chat,Lampang,Thailand,129,p2,33,1011,31,1.43,166
5/1/2023 12:15:29,TH-10,Phra Nakhon,Bangkok,Thailand,78,p2,35,1008,44,2.53,136
5/1/2023 12:16:01,TH-11,Bang Phli,Samut Prakan,Thailand,77,p2,34,1010,55,2.57,130
5/1/2023 12:16:33,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,85,p2,35,1010,51,1.03,0
5/1/2023 12:17:05,TH-13,Khlong Luang,Pathum Thani,Thailand,67,p2,35,1010,69,1.03,0
5/1/2023 12:17:36,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,92,p2,34,1009,44,2.31,139
5/1/2023 12:18:08,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,97,p2,34,1008,40,1.7,128
5/1/2023 12:18:40,TH-16,Ban Mi,Lop Buri,Thailand,76,p2,38,1009,38,1.36,151
5/1/2023 12:19:12,TH-20,Na Kluea,Chon Buri,Thailand,78,p2,32,1009,61,1.79,267
5/1/2023 12:19:44,TH-21,Ban Khai,Rayong,Thailand,85,p2,33,1010,61,2.68,155
5/1/2023 12:20:18,TH-50,Chiang Mai,Chiang Mai,Thailand,82,p2,32,984,48,3.6,190
5/1/2023 12:20:51,TH-52,Hang Chat,Lampang,Thailand,114,p2,35,1010,28,1.06,170
5/1/2023 13:15:26,TH-10,Phra Nakhon,Bangkok,Thailand,78,p2,36,1007,42,3.71,165
5/1/2023 13:15:57,TH-11,Bang Phli,Samut Prakan,Thailand,75,p2,34,1009,52,1.54,0
5/1/2023 13:16:28,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,82,p2,35,1009,48,2.57,60
5/1/2023 13:16:59,TH-13,Khlong Luang,Pathum Thani,Thailand,65,p2,35,1009,67,2.57,60
5/1/2023 13:17:30,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,86,p2,35,1007,41,2.13,152
5/1/2023 13:18:01,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,85,p2,35,1007,37,1.46,145
5/1/2023 13:18:32,TH-16,Ban Mi,Lop Buri,Thailand,66,p2,40,1007,34,1.12,166
5/1/2023 13:19:02,TH-20,Na Kluea,Chon Buri,Thailand,93,p2,33,1008,60,2.46,261
5/1/2023 13:19:33,TH-21,Ban Khai,Rayong,Thailand,83,p2,34,1009,60,3.16,171
5/1/2023 13:20:04,TH-50,Chiang Mai,Chiang Mai,Thailand,78,p2,34,986,47,3.09,210
5/1/2023 13:20:35,TH-52,Hang Chat,Lampang,Thailand,102,p2,36,1008,26,0.59,161
5/1/2023 14:15:27,TH-10,Phra Nakhon,Bangkok,Thailand,80,p2,37,1006,42,3.54,178
5/1/2023 14:15:59,TH-11,Bang Phli,Samut Prakan,Thailand,79,p2,35,1008,52,2.06,130
5/1/2023 14:16:30,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,83,p2,36,1008,47,2.06,0
5/1/2023 14:17:01,TH-13,Khlong Luang,Pathum Thani,Thailand,65,p2,36,1007,66,2.06,0
5/1/2023 14:17:32,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,86,p2,35,1006,42,2.12,139
5/1/2023 14:18:03,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,83,p2,36,1006,36,2.11,159
5/1/2023 14:18:34,TH-16,Ban Mi,Lop Buri,Thailand,66,p2,39,1006,32,0.85,153
5/1/2023 14:19:05,TH-20,Na Kluea,Chon Buri,Thailand,85,p2,33,1007,61,2.78,240
5/1/2023 14:19:36,TH-21,Ban Khai,Rayong,Thailand,72,p2,33,1009,61,3.45,184
5/1/2023 14:20:07,TH-50,Chiang Mai,Chiang Mai,Thailand,78,p2,37,990,39,2.57,0
5/1/2023 14:20:38,TH-52,Hang Chat,Lampang,Thailand,97,p2,38,1007,40,0.4,165
